"","measure","location","sex","age","cause","metric","year","val","upper","lower"
"77","Deaths","Southern Sub-Saharan Africa","Male","All ages","Tuberculosis","Number",1991,18144.6640394223,20993.8838475308,15814.872526735
"79","Deaths","Southern Sub-Saharan Africa","Male","All ages","Tuberculosis","Percent",1991,0.0745866293275359,0.0860645791350559,0.0654953828659522
"293","Deaths","Southern Sub-Saharan Africa","Male","All ages","HIV/AIDS","Number",1991,11417.4032117468,21988.0567357519,5788.37215489781
"295","Deaths","Southern Sub-Saharan Africa","Male","All ages","HIV/AIDS","Percent",1991,0.0467049853340425,0.0877930750135466,0.0240071731136816
"9619","Deaths","African Region","Male","All ages","Tuberculosis","Number",1990,258781.706203906,295052.191166158,229929.587087735
"9621","Deaths","African Region","Male","All ages","Tuberculosis","Percent",1990,0.0695875199795112,0.0788724518070326,0.0631706457118899
"9835","Deaths","African Region","Male","All ages","HIV/AIDS","Number",1990,114594.991303866,162488.860827037,80377.489340215
"9837","Deaths","African Region","Male","All ages","HIV/AIDS","Percent",1990,0.0308050996684412,0.0433629994029415,0.0215044555223046
"11936","Deaths","High-income North America","Male","All ages","Zika virus","Number",1990,0,0,0
"11938","Deaths","High-income North America","Male","All ages","Zika virus","Percent",1990,0,0,0
"12368","Deaths","Latin America & Caribbean - WB","Male","All ages","Tuberculosis","Number",1992,26593.8509106426,27585.8645796633,25471.7438990872
"12370","Deaths","Latin America & Caribbean - WB","Male","All ages","Tuberculosis","Percent",1992,0.0168211386055645,0.0173625223024989,0.0162147772830094
"14946","Deaths","Middle East & North Africa - WB","Male","All ages","Zika virus","Number",1991,0,0,0
"14948","Deaths","Middle East & North Africa - WB","Male","All ages","Zika virus","Percent",1991,0,0,0
"17886","Deaths","High-income Asia Pacific","Male","All ages","Tuberculosis","Number",1991,8800.08665377137,9115.03250552119,8440.50343431932
"17888","Deaths","High-income Asia Pacific","Male","All ages","Tuberculosis","Percent",1991,0.0148114416499922,0.0153385669302562,0.0142042249449853
"18102","Deaths","High-income Asia Pacific","Male","All ages","HIV/AIDS","Number",1991,103.401156509219,106.368745031939,100.698883117188
"18104","Deaths","High-income Asia Pacific","Male","All ages","HIV/AIDS","Percent",1991,0.000174035190358738,0.000179006590354817,0.000169349578467668
"18222","Deaths","East Asia","Male","All ages","Tuberculosis","Number",1990,114103.499446427,130750.284012638,96344.321983709
"18224","Deaths","East Asia","Male","All ages","Tuberculosis","Percent",1990,0.0241397489224741,0.0256410452255696,0.0228808180029873
"18438","Deaths","East Asia","Male","All ages","HIV/AIDS","Number",1990,1815.19032696038,2683.38982446124,459.869291896093
"18440","Deaths","East Asia","Male","All ages","HIV/AIDS","Percent",1990,0.000385562342138088,0.000590917555120712,9.35659012686345e-05
"32075","Deaths","Western Sub-Saharan Africa","Male","All ages","Tuberculosis","Number",1990,74354.3025515798,89067.1980196937,62420.3015738061
"32077","Deaths","Western Sub-Saharan Africa","Male","All ages","Tuberculosis","Percent",1990,0.0498464607621969,0.0581220482552319,0.0433271428476218
"32291","Deaths","Western Sub-Saharan Africa","Male","All ages","HIV/AIDS","Number",1990,16479.1311857957,27174.1347567609,10697.6093781532
"32293","Deaths","Western Sub-Saharan Africa","Male","All ages","HIV/AIDS","Percent",1990,0.0110576287137599,0.0182251104057511,0.0071949209316449
"36795","Deaths","Sub-Saharan Africa - WB","Male","All ages","Tuberculosis","Number",1992,275814.585865298,312229.686538432,244383.029944458
"36797","Deaths","Sub-Saharan Africa - WB","Male","All ages","Tuberculosis","Percent",1992,0.0692951107941607,0.0779254643721047,0.0625794266992643
"37011","Deaths","Sub-Saharan Africa - WB","Male","All ages","HIV/AIDS","Number",1992,184798.416641228,262607.279414342,129234.255411607
"37013","Deaths","Sub-Saharan Africa - WB","Male","All ages","HIV/AIDS","Percent",1992,0.0463868491705562,0.0643501718214515,0.0323894205921053
"37464","Deaths","Oceania","Male","All ages","Tuberculosis","Number",1990,1033.08691423096,1451.23623422887,716.121101145216
"37466","Deaths","Oceania","Male","All ages","Tuberculosis","Percent",1990,0.0359003638477529,0.0469032252006013,0.0258044325070073
"37680","Deaths","Oceania","Male","All ages","HIV/AIDS","Number",1990,11.4824943781532,33.6795275772659,5.16248419565552
"37682","Deaths","Oceania","Male","All ages","HIV/AIDS","Percent",1990,0.000400351870953353,0.00116884295640692,0.000178889273378286
"39156","Deaths","Asia","Male","All ages","Tuberculosis","Number",1991,765514.842770105,831201.454841387,698463.627091898
"39158","Deaths","Asia","Male","All ages","Tuberculosis","Percent",1991,0.0545628076027211,0.0588697965006006,0.0499136702232274
"39372","Deaths","Asia","Male","All ages","HIV/AIDS","Number",1991,7483.7207986674,10218.8841987084,5197.23171960277
"39374","Deaths","Asia","Male","All ages","HIV/AIDS","Percent",1991,0.000533641057484205,0.000733368235836553,0.000367824005433512
"39744","Deaths","East Asia","Male","All ages","Zika virus","Number",1990,0,0,0
"39746","Deaths","East Asia","Male","All ages","Zika virus","Percent",1990,0,0,0
"39964","Deaths","High-income North America","Male","All ages","Tuberculosis","Number",1990,1497.30280114647,1548.33806692231,1435.77929669413
"39966","Deaths","High-income North America","Male","All ages","Tuberculosis","Percent",1990,0.00123758592272087,0.00127930610440532,0.00118664092586586
"40180","Deaths","High-income North America","Male","All ages","HIV/AIDS","Number",1990,25126.9009940517,25354.9299932469,24890.9096944502
"40182","Deaths","High-income North America","Male","All ages","HIV/AIDS","Percent",1990,0.0207685208589582,0.020954824847821,0.0205710436815035
"45334","Deaths","America","Male","All ages","Zika virus","Number",1991,0,0,0
"45336","Deaths","America","Male","All ages","Zika virus","Percent",1991,0,0,0
"46234","Deaths","Central Asia","Male","All ages","Zika virus","Number",1991,0,0,0
"46236","Deaths","Central Asia","Male","All ages","Zika virus","Percent",1991,0,0,0
"46682","Deaths","South Asia - WB","Male","All ages","Tuberculosis","Number",1991,489337.971751968,542813.182307248,430558.219264504
"46684","Deaths","South Asia - WB","Male","All ages","Tuberculosis","Percent",1991,0.0805753987923265,0.0888372891242862,0.0712567692584264
"46898","Deaths","South Asia - WB","Male","All ages","HIV/AIDS","Number",1991,1326.9026496728,2616.75771611519,738.903581129954
"46900","Deaths","South Asia - WB","Male","All ages","HIV/AIDS","Percent",1991,0.000218585164762343,0.000432368917079318,0.000121531952460536
"50250","Deaths","Asia","Male","All ages","Zika virus","Number",1991,0,0,0
"50252","Deaths","Asia","Male","All ages","Zika virus","Percent",1991,0,0,0
"51007","Deaths","South Asia","Male","All ages","Zika virus","Number",1991,0,0,0
"51009","Deaths","South Asia","Male","All ages","Zika virus","Percent",1991,0,0,0
