"location","cause","b0_median","b1_median","b2_median","t_inflec_median"
"Andean Latin America","Tuberculosis","0.076895870855779","-0.000572869744586743","-0.00189912481558772","1991.06580615422"
"Australasia","HIV/AIDS","0.00845628465414519","-8.47042144264795e-05","-0.000237572415149812","1992.34793921372"
"Caribbean","HIV/AIDS","0.0470117063568276","0.00655510037202795","-0.01031497958698","2000.93442281193"
"Caribbean","Tuberculosis","0.0166101492694477","-7.81581468101294e-05","-0.000185416158284252","1992.11845787111"
"Central Asia","Tuberculosis","0.0175792215200441","0.00186225050297052","-0.00304559979155833","1999.63410145055"
"Central Europe","Tuberculosis","0.00592968482565164","0.00014103942478834","-0.000320176014347876","1996.60698993535"
"Central Latin America","HIV/AIDS","0.00704206249173344","0.000800719328638748","-0.00110739512592165","2005.65569800232"
"Central Latin America","Tuberculosis","0.0161886724722887","-0.000115668668197961","-0.000366700346797411","1990.9589349723"
"Central Sub-Saharan Africa","HIV/AIDS","0.0665430476424047","0.00504062585065985","-0.00791421351946945","2001.05847067086"
"Central Sub-Saharan Africa","Tuberculosis","0.110239760309077","-0.000140343285833352","-0.00145538415622466","2011.60676114502"
"East Asia","Tuberculosis","0.0218769930977293","-8.97296151929871e-05","-0.000568242955193021","1990.53731952458"
"Eastern Europe","Tuberculosis","0.00672715779957284","0.000526308384140034","-0.000985092613886431","2004.40445478149"
"Eastern Sub-Saharan Africa","HIV/AIDS","0.112742628965245","0.0115164682948959","-0.0190813846393727","2002.68995056302"
"Eastern Sub-Saharan Africa","Tuberculosis","0.112146814839502","-0.000301482121013214","-0.000909289429431625","1991.25320059025"
"High-income Asia Pacific","HIV/AIDS","0.000326370895077215","3.64236810894934e-05","-4.56917731431802e-05","2013.068978853"
"High-income Asia Pacific","Tuberculosis","0.0120836166249339","-9.03040506391657e-05","-0.000290186121513313","1990.78444923786"
"High-income North America","HIV/AIDS","0.0365260031639128","-0.000348362681694555","-0.00106464000888684","1992.80960305167"
"High-income North America","Tuberculosis","0.000974012932824934","-6.59514983271561e-06","-2.06266452942178e-05","1990.97748748488"
"North Africa and Middle East","HIV/AIDS","0.000253164918003114","0.00028342321882594","-0.000170098609864624","2006.88042168976"
"North Africa and Middle East","Tuberculosis","0.0175307253069843","-8.93411096610045e-05","-0.000320978921436423","1991.53441437178"
"Oceania","HIV/AIDS","-0.00987756621734225","0.00393617125456109","-0.00390132003343425","2006.25961756074"
"Oceania","Tuberculosis","0.0377881115220157","-0.000128356924768785","-0.00043893001772224","1990.69212636488"
"South Asia","HIV/AIDS","-0.00421659550607936","0.00193479545280348","-0.00346342684573843","2005.97033823938"
"South Asia","Tuberculosis","0.0989304551458914","-0.000401991061724145","-0.00142364016593479","1991.59341313553"
"Southeast Asia","HIV/AIDS","-0.000564023160304131","0.00238229338106742","-0.00263650785675359","2001.72381993906"
"Southeast Asia","Tuberculosis","0.0927582105758011","-0.000404065630778574","-0.0014298214169903","1990.53909999805"
"Southern Latin America","HIV/AIDS","0.00454447744202949","0.00211890348788578","-0.00234886536521235","1997.21163353301"
"Southern Latin America","Tuberculosis","0.0101614487156087","-6.0400729362535e-05","-0.000191567502550454","1990.89317893617"
"Southern Sub-Saharan Africa","HIV/AIDS","0.0469378240934949","0.0280308093138804","-0.0321933253502624","2001.74782738331"
"Tropical Latin America","Tuberculosis","0.0120483109879314","-6.06643137366553e-05","-0.000213773913085169","1990.60099084892"
"Western Europe","HIV/AIDS","0.0187458089919713","-0.000178936147048864","-0.000477464113188869","1993.71753541467"
"Western Europe","Tuberculosis","0.00221985036835393","-1.21009917538535e-05","-4.17562082127017e-05","1990.57088046944"
"Western Sub-Saharan Africa","HIV/AIDS","0.0366768599850403","0.009493536932607","-0.0125565179213453","2000.9522958578"
"Western Sub-Saharan Africa","Tuberculosis","0.0791347051184659","-0.000275570671688429","-0.000954368421218886","1990.73217705039"
