"location","cause","measure","b0_median","b1_median","b2_median","t_inflec_median"
"Andean Latin America","HIV/AIDS","Deaths",0.00575904773299207,0.00111428878558617,0,NA
"Andean Latin America","HIV/AIDS","Incidence",1.10358593894711e-05,7.17475593838877e-07,-1.24357765925341e-06,2011.23374388613
"Andean Latin America","HIV/AIDS","Prevalence",0.000289971322572198,5.62637953791537e-05,0,NA
"Andean Latin America","Tuberculosis","Deaths",0.0763901935722636,0,-0.00245697628583303,1990.92397834026
"Andean Latin America","Tuberculosis","Incidence",0.000393799558508624,0,-1.12797223377401e-05,1990.83494060044
"Andean Latin America","Tuberculosis","Prevalence",0.349729439881828,0,-0.0069313864806169,1990.42424608437
"Australasia","HIV/AIDS","Deaths",0.00816544398724651,0,-0.000317289554189658,1992.12759971756
"Australasia","HIV/AIDS","Incidence",7.87792327616519e-06,0,0,NA
"Australasia","HIV/AIDS","Prevalence",0.000341527844400391,9.62865035608113e-06,0,NA
"Australasia","Tuberculosis","Deaths",0.00080330323243073,0,-1.24059095684253e-05,1990.86730080485
"Australasia","Tuberculosis","Incidence",2.15435614330716e-05,0,-3.87468325294531e-07,1990.75642744707
"Australasia","Tuberculosis","Prevalence",0.168837861041952,0,-0.00240324362701969,1990.4140170109
"Caribbean","HIV/AIDS","Deaths",0.047542487948422,0.00643534265182433,-0.0102400042478916,2001.02615259393
"Caribbean","HIV/AIDS","Incidence",0.000137982907900387,0,-3.48584408977996e-06,1990.8683966082
"Caribbean","HIV/AIDS","Prevalence",0.00470613107794203,4.30841286407611e-05,0,NA
"Caribbean","Tuberculosis","Deaths",0.0165608295973586,0,-0.00026307902599272,1991.53017651561
"Caribbean","Tuberculosis","Incidence",7.32568778621996e-05,0,-7.71466281671454e-07,1991.04227493635
"Caribbean","Tuberculosis","Prevalence",0.358770299427354,0,-0.00438143635732757,1990.51335289121
"Central Asia","HIV/AIDS","Deaths",0.00123654387961092,0.000200702191858462,-0.000134000156373518,1998.96061592876
"Central Asia","HIV/AIDS","Incidence",1.98578055533898e-06,3.07626124362076e-07,0,NA
