"location","cause","measure","b0_median","b1_median","b2_median","t_inflec_median"
"Andean Latin America","Diarrheal diseases","Deaths",0.022456962946108,0,-0.000537679635760215,NA
"Andean Latin America","Diarrheal diseases","Prevalence",0.0162382206421692,0.000347401258725256,-0.000130791635613954,2000.01948080765
"Andean Latin America","Diarrheal diseases","Incidence",0.152073768924035,0.00298415802745552,-0.00133732546826891,2001.99187049542
"Andean Latin America","Falls","Deaths",0.0102804768988966,0.00021801015689785,-0.00014774865865756,1998.63526475797
"Andean Latin America","Falls","Prevalence",0.0500649199761263,0.00111430651505866,-0.000707389895876489,2002.86891688771
"Andean Latin America","Falls","Incidence",0.00238211158033909,4.80163246008001e-05,-3.34630588236369e-05,2003.21169986305
"Andean Latin America","Malaria","Deaths",0.00600314737225134,0,-0.000324412405718398,NA
"Andean Latin America","Malaria","Prevalence",0.00868202657379583,0,-0.00028516376504996,NA
"Andean Latin America","Malaria","Incidence",0.0039673980978846,0,-0.000172755343813171,NA
"Andean Latin America","Multiple sclerosis","Deaths",0.000181860951112867,5.0836478017007e-06,0,NA
"Andean Latin America","Multiple sclerosis","Prevalence",6.71995669843198e-05,1.18638897787047e-06,-7.02839848298828e-07,2005.10702930524
"Andean Latin America","Multiple sclerosis","Incidence",5.34727957381093e-07,1.20751086881439e-09,0,NA
"Andean Latin America","Pancreatic cancer","Deaths",0.00255618346553731,0.000243174756117685,0,NA
"Andean Latin America","Pancreatic cancer","Prevalence",2.97437111222751e-05,4.71958345375744e-06,-3.90461840396881e-06,2005.58510483838
"Andean Latin America","Pancreatic cancer","Incidence",7.21045887715622e-06,9.60967349319888e-07,-8.99443303263161e-07,2005.51996147766
"Andean Latin America","Protein-energy malnutrition","Deaths",0.0166168014857805,0,-0.00045560760533799,NA
"Andean Latin America","Protein-energy malnutrition","Prevalence",0.00858998635985681,0,-0.000109014313374558,NA
"Andean Latin America","Protein-energy malnutrition","Incidence",0.00129869764833201,0,-1.96917113302839e-05,NA
"Andean Latin America","Schistosomiasis","Deaths",0,0,0,NA
"Andean Latin America","Schistosomiasis","Prevalence",0,0,0,NA
"Andean Latin America","Schistosomiasis","Incidence",0,0,0,NA
"Andean Latin America","Stroke","Deaths",0.0677578183556102,0,-0.000686261336445552,NA
"Andean Latin America","Stroke","Prevalence",0.0232177974700412,0,-0.000127876895234682,NA
"Andean Latin America","Stroke","Incidence",0.000437462438375504,0,-4.16077788354229e-06,NA
"Andean Latin America","Typhoid and paratyphoid","Deaths",4.18975287880468e-05,0,0,NA
"Andean Latin America","Typhoid and paratyphoid","Prevalence",0,0,0,NA
"Andean Latin America","Typhoid and paratyphoid","Incidence",7.09477316843305e-06,0,-1.62886362825316e-07,NA
"Australasia","Diarrheal diseases","Deaths",0.000389400334372344,5.44237996645395e-05,-7.94979370614434e-05,2013.9895368779
"Australasia","Diarrheal diseases","Prevalence",0.00539632351680969,8.15158755082619e-05,-5.66967861569432e-05,2007.9415900806
"Australasia","Diarrheal diseases","Incidence",0.0671291388829348,0.000658766224977955,-0.000528226361930507,2006.26087018206
"Australasia","Falls","Deaths",0.00685077889090303,0.000303078453380761,-0.000401461030767555,2014.69650011986
"Australasia","Falls","Prevalence",0.223795385370326,0.00245985101021695,0,NA
"Australasia","Falls","Incidence",0.0138154312002642,0.000230114573634947,0,NA
"Australasia","Malaria","Deaths",0,0,0,NA
"Australasia","Malaria","Prevalence",0,0,0,NA
"Australasia","Malaria","Incidence",0,0,0,NA
"Australasia","Multiple sclerosis","Deaths",0.00119037302499325,4.00212216105001e-05,-2.52482916529176e-05,2003.74572468423
"Australasia","Multiple sclerosis","Prevalence",0.000467337047670994,2.40692080614766e-05,-2.35352080404195e-05,2002.24339079135
"Australasia","Multiple sclerosis","Incidence",2.02819028999031e-06,6.01217596025045e-08,-6.01754156645487e-08,2002.49998263414
"Australasia","Pancreatic cancer","Deaths",0.00967315666368616,0.000364232173580362,-0.000193025095967395,2012.74223490424
"Australasia","Pancreatic cancer","Prevalence",0.000210116166695111,3.11670362966545e-06,0,NA
"Australasia","Pancreatic cancer","Incidence",5.11680023136679e-05,2.89902359785669e-07,0,NA
"Australasia","Protein-energy malnutrition","Deaths",0.000304710474904607,1.53220507585516e-05,-1.56761628014411e-05,2000.49340991449
"Australasia","Protein-energy malnutrition","Prevalence",0.00419303511574634,7.1971831343445e-05,-6.76101522932609e-05,2005.87531582394
"Australasia","Protein-energy malnutrition","Incidence",0.000776458164185557,6.61878377356538e-06,0,NA
"Australasia","Schistosomiasis","Deaths",0,0,0,NA
"Australasia","Schistosomiasis","Prevalence",0,0,0,NA
"Australasia","Schistosomiasis","Incidence",0,0,0,NA
"Australasia","Stroke","Deaths",0.0570915563868649,0,-0.000812399068090247,NA
"Australasia","Stroke","Prevalence",0.022792529558361,0,-0.00025240641640095,NA
"Australasia","Stroke","Incidence",0.00069620197225121,0,-1.25250765673793e-05,NA
"Australasia","Typhoid and paratyphoid","Deaths",5.22837036095104e-07,3.98088346496901e-08,-3.74923238163067e-08,2003.06252261969
