"location","cause","measure","b0_median","b1_median","b2_median","t_inflec_median"
"Andean Latin America","Diarrheal diseases","Deaths",0.0223331233067367,0,-0.00053750369653488,1990.98257784127
"Andean Latin America","Diarrheal diseases","Prevalence",0.0167688863018009,0.000254465145216849,0,NA
"Andean Latin America","Diarrheal diseases","Incidence",0.157365729167983,0.00214747718664692,0,NA
"Andean Latin America","Falls","Deaths",0.0108808760471812,0.000102862117687172,0,NA
"Andean Latin America","Falls","Prevalence",0.0500502628139844,0.00111618940099143,-0.000709755616320974,2002.84904200538
"Andean Latin America","Falls","Incidence",0.00238302089617926,4.78199611046555e-05,-3.32228431127982e-05,2003.24875789627
"Andean Latin America","Malaria","Deaths",0.00631438788025906,0,-0.000325675512242372,1993.43296779648
"Andean Latin America","Malaria","Prevalence",0.00876464558516165,0,-0.000285782112525058,1990.61794914129
"Andean Latin America","Malaria","Incidence",0.00404156344908509,0,-0.000172113293126027,1990.73687661585
"Andean Latin America","Multiple sclerosis","Deaths",0.000181790306102027,5.08535653368447e-06,0,NA
"Andean Latin America","Multiple sclerosis","Prevalence",6.7209755341713e-05,1.18495852760052e-06,-7.01439016615646e-07,2005.13373359049
"Andean Latin America","Multiple sclerosis","Incidence",5.25244061747734e-07,2.49563027476289e-09,-2.84470856221929e-09,2005.55072793123
"Andean Latin America","Pancreatic cancer","Deaths",0.00171359283650796,0.000359576811191705,-0.000254673431962982,2005.39238291765
"Andean Latin America","Pancreatic cancer","Prevalence",2.96478061954596e-05,4.73276016150847e-06,-3.92370055136697e-06,2005.54732787916
"Andean Latin America","Pancreatic cancer","Incidence",7.21489957097509e-06,9.59146945345721e-07,-8.98915291558396e-07,2005.56312288887
"Andean Latin America","Protein-energy malnutrition","Deaths",0.0165787535727525,0,-0.00045539661280119,1997.50349286852
"Andean Latin America","Protein-energy malnutrition","Prevalence",0.00859796023590982,0,-0.000109054477273697,2000.58400573995
"Andean Latin America","Protein-energy malnutrition","Incidence",0.00129796729639331,0,-1.95764298220557e-05,1999.57422939958
"Andean Latin America","Schistosomiasis","Deaths",0,0,0,NA
"Andean Latin America","Schistosomiasis","Prevalence",0,0,0,NA
"Andean Latin America","Schistosomiasis","Incidence",0,0,0,NA
"Andean Latin America","Stroke","Deaths",0.0678037394087882,0,-0.000684889412462523,1991.24882311096
